Hf,TVF,OH,SVF,TF,IP,phiedge
3659.91,908.839,-26.4472,359.162,-780.824,-3.29824,NaN
3576.02,1102.95,18896.7,291.605,-832.171,45745.9,-0.0617693
3655.81,858.215,-25.4820,408.917,-777.022,0.222093,-0.0146892
3585.55,1041.60,16825.2,347.366,-818.896,37254.3,-0.0433241
3656.99,829.696,-27.9117,409.295,-773.963,-0.187075,-0.0159011
3587.50,1009.05,16266.1,348.714,-813.488,36660.9,-0.0424644
3664.67,807.190,-26.2394,410.390,-790.284,8.79479,-0.0166244
3563.15,1020.13,18302.2,333.815,-839.743,53481.2,-0.0427213
3671.98,836.204,-25.6166,357.627,-775.041,7.09513,-0.0179960
3567.94,1055.25,18984.3,282.733,-828.092,57109.9,-0.0455399
3679.16,867.401,-26.0824,-3.13814,-776.790,19.6240,-0.0359477
3593.09,1057.79,18010.3,-74.3629,-829.411,49838.3,-0.0551646
3680.54,865.343,-26.8961,-155.824,-776.244,-0.758549,-0.0436244
3555.00,1096.02,21830.9,-236.819,-843.836,71754.0,-0.0589636
3677.86,864.946,-28.9554,-156.275,-777.975,8.37533,-0.0436809
3546.11,1100.26,21103.9,-240.754,-845.200,74865.0,-0.0585719
3675.19,837.763,-27.8947,-155.749,-780.341,5.33580,-0.0455587
3547.71,1070.09,21204.8,-239.214,-846.090,70636.5,-0.0576466
3756.02,811.222,-26.5650,-156.108,-47.7596,37.6661,-0.0405865
3646.51,1029.54,19719.0,-235.604,-78.6124,60674.8,-0.0436191
3673.75,809.877,-26.3967,-209.281,-782.354,1.53555,-0.0497098
3547.04,1047.40,22072.9,-290.579,-850.572,70457.6,-0.0580737
3671.04,837.955,-29.6454,-205.937,-778.852,6.21061,-0.0469809
3539.48,1070.67,21261.9,-290.490,-847.767,72784.7,-0.0588421
3677.35,840.271,-26.3966,-259.515,-782.376,13.6069,-0.0448942
3544.99,1072.31,20889.0,-341.086,-848.957,73540.1,-0.0605421
3675.31,811.476,-25.6334,-258.861,-782.707,6.30519,-0.0501208
3548.21,1046.36,21629.7,-339.062,-850.621,71314.0,-0.0594835
3754.42,811.369,-25.0892,-309.438,-48.2651,33.8076,-0.0408039
3636.87,1034.54,20232.9,-387.663,-81.3139,66083.3,-0.0470546
3675.60,809.030,-26.4921,-309.716,-782.864,7.97655,-0.0484558
3548.78,1044.90,21865.7,-388.341,-850.970,72480.4,-0.0607997
3672.91,838.057,-28.6131,-311.809,-781.285,23.8647,-0.0423592
3540.28,1074.06,21379.5,-390.781,-850.223,75718.9,-0.0618310
3692.03,870.715,-25.6557,-309.542,-776.745,9.39509,-0.0359785
3554.59,1107.33,21404.9,-393.481,-845.544,78429.1,-0.0629127
3680.77,868.697,-27.7152,-363.293,-778.333,-1.04909,-0.0309226
3541.32,1106.03,21404.7,-444.532,-848.845,78615.8,-0.0644940
3678.97,839.719,-27.7266,-363.596,-780.918,19.8837,-0.0377505
3543.31,1075.62,21239.7,-445.259,-848.845,76992.7,-0.0634140
3681.98,840.610,-28.4335,-413.512,-781.231,3.88538,-0.0323670
3545.06,1078.30,21810.0,-496.882,-849.556,78305.0,-0.0650275
3675.08,839.429,-26.8568,-413.602,-780.457,5.63343,-0.0323270
3536.70,1074.80,21383.9,-499.091,-850.809,78187.8,-0.0650642
3677.35,809.756,-26.0095,-412.990,-780.547,93.0771,-0.0407468
3539.23,1046.30,21384.8,-497.741,-850.174,77210.4,-0.0636772
3607.71,871.829,-13.1369,-2.11775,-802.906,34.0949,-0.0339728
3513.53,1080.70,18192.8,-1.68095,-844.167,49332.6,-0.0509737
3651.39,882.667,-15.7630,-1.67021,-797.928,22.4444,-0.0342459
3558.85,1098.45,18304.0,-1.82774,-841.555,56654.4,-0.0518464
3648.52,886.062,-13.5297,-1.56638,-794.864,23.2649,-0.0340214
3559.71,1105.71,18784.5,-1.82058,-840.571,57593.2,-0.0528170
3678.43,889.438,-15.9988,-1.69706,-793.710,16.9568,-0.0344139
3588.23,1082.26,16407.1,-1.75972,-835.114,48321.0,-0.0528386
3684.67,893.002,-17.3230,-1.81700,-791.688,11.7015,-0.0343873
3613.45,1054.52,13668.8,-1.71496,-825.533,36548.3,-0.0521161
3688.54,868.171,-15.9818,-1.80984,-786.607,6.12503,-0.0360059
3613.82,1028.96,13086.0,-1.73287,-820.452,37449.9,-0.0515826
3690.13,864.777,-15.9650,-1.60040,-794.891,13.6846,-0.0361979
3604.98,1055.49,16200.6,-1.73466,-832.748,44238.1,-0.0518730
3686.92,839.233,-17.1434,-1.56459,-792.404,18.0631,-0.0371335
3602.84,1027.18,15893.8,-1.91367,-830.543,43357.7,-0.0509451
3692.14,838.757,-18.1648,-1.50373,-794.882,10.3975,-0.0372468
3607.57,1028.10,16044.5,-1.67021,-833.115,43556.7,-0.0509811
3698.54,841.813,-16.7788,-1.60040,-787.269,9.39430,-0.0372068
3629.35,1002.89,12882.2,-1.85639,-819.406,36109.0,-0.0507095
3702.35,841.251,-16.5262,-160.702,-789.515,10.2736,-0.0461410
3633.71,1003.41,13897.7,-216.698,-821.128,38017.9,-0.0574574
3707.41,842.668,-19.7304,-158.675,-786.728,3.28630,-0.0460519
3620.51,1033.50,16677.9,-228.164,-825.775,48790.7,-0.0576192
3700.85,869.049,-15.6788,-160.029,-787.421,5.77409,-0.0442101
3631.40,1051.61,16767.6,-223.810,-820.748,40152.1,-0.0584674
3695.53,882.235,-17.0930,-160.018,-778.476,4.99614,-0.0416443
3607.73,1073.29,16962.8,-229.211,-817.049,50275.8,-0.0589636
3701.10,881.972,-18.8437,-159.130,-788.025,17.0464,-0.0422631
3613.86,1069.46,16844.0,-225.190,-824.818,45654.4,-0.0589725
3697.88,881.095,-15.8134,-159.610,-785.529,3.62345,-0.0421230
3609.95,1073.36,17166.2,-229.766,-825.386,51213.9,-0.0591036
3694.39,879.731,-18.2994,-160.611,-786.800,9.83377,-0.0422761
3622.02,1044.22,14224.8,-220.026,-821.020,42119.8,-0.0589783
3705.19,881.135,-19.3825,-262.624,-786.066,6.21841,-0.0374391
3623.80,1051.51,14956.2,-324.545,-822.429,46321.6,-0.0629224
3701.92,883.170,-17.4465,-261.604,-787.314,7.31283,-0.0369612
3606.26,1080.03,18040.9,-335.861,-828.396,55490.1,-0.0628651
3708.18,831.295,-16.2008,-260.906,-783.843,7.80692,-0.0478782
3616.09,1027.85,17420.2,-332.608,-823.981,53951.8,-0.0604935
3706.24,801.074,-18.2937,-260.265,-789.845,2.06870,-0.0533696
3631.90,966.434,14097.1,-319.644,-822.394,40474.0,-0.0597450
3708.98,800.188,-18.8101,-313.874,-785.350,-0.596843,-0.0514292
3640.27,965.681,14791.2,-374.034,-816.105,39527.0,-0.0620247
3704.56,799.960,-18.4902,-313.887,-786.876,6.20560,-0.0513563
3620.60,996.085,17871.4,-383.860,-822.921,49800.2,-0.0614636
3707.38,766.309,-19.2646,-314.544,-787.202,1.41112,-0.0574376
3611.83,960.567,16878.6,-380.815,-836.617,50027.5,-0.0600167
3688.72,764.033,-18.2041,-420.401,-784.192,17.9148,-0.0520759
3616.53,937.162,14805.6,-479.229,-827.242,43992.9,-0.0646863
3708.02,764.781,-18.2882,-421.058,-778.163,16.5845,-0.0528855
3625.71,965.605,17364.4,-489.844,-829.984,55301.4,-0.0631164
3700.89,800.290,-16.6777,-421.368,-779.903,26.7364,-0.0436392
3585.16,1006.66,17949.1,-491.520,-835.109,60936.6,-0.0647532
3710.34,803.631,-17.9683,-419.712,-781.821,32.1031,-0.0436765
3597.07,984.832,15888.5,-483.242,-834.148,51586.2,-0.0660371
3714.19,832.471,-15.7405,-420.211,-778.735,12.6752,-0.0360257
3621.42,1014.02,15885.6,-484.834,-830.520,53540.3,-0.0672887
3736.09,846.218,-16.5486,148.298,-790.033,26.8966,-0.0287651
3662.93,1008.62,13326.6,93.7449,-826.061,38775.0,-0.0486167
3730.57,839.866,-19.4105,150.989,-778.852,25.6214,-0.0291520
3645.83,1025.43,15954.0,83.2546,-824.048,44306.9,-0.0486650
3729.59,868.038,-16.9415,150.629,-789.139,25.0306,-0.0275463
3642.71,1056.38,16220.7,84.7082,-835.244,45362.6,-0.0498538
3727.89,866.327,-17.3342,147.865,-782.613,29.8389,-0.0279280
3654.98,1029.49,13418.7,91.7757,-819.173,39113.0,-0.0491747
3725.97,892.855,-16.0997,149.863,-786.536,35.9632,-0.0266514
3653.18,1054.11,13571.7,92.8319,-824.782,38640.8,-0.0498465
3729.44,891.884,-17.3679,254.742,-781.728,12.8826,-0.0219539
3656.78,1049.49,13004.7,198.956,-817.858,37423.1,-0.0470587
3721.67,888.543,-18.7035,255.945,-785.637,7.02749,-0.0206564
3636.42,1072.88,15941.8,189.402,-829.527,44620.0,-0.0478112
3742.90,909.262,-17.2838,253.127,-780.296,3.28136,-0.0203025
3663.14,1098.44,16718.9,188.566,-826.839,44791.3,-0.0486716
3740.01,909.142,-14.7137,253.586,-787.417,10.7337,-0.0203634
3665.69,1068.62,13226.6,200.647,-824.880,38327.3,-0.0477885
3730.30,930.101,-16.1894,255.825,-787.028,-4.58257,-0.0186038
3658.72,1088.39,13323.0,196.270,-821.629,38463.2,-0.0482225
3733.15,929.527,-16.3017,305.189,-784.742,-8.50871,-0.0161280
3664.25,1088.06,13096.0,253.414,-819.030,36021.4,-0.0465496
3743.45,937.211,-21.1108,308.080,-775.238,-0.535171,NaN
3668.13,1114.52,15799.0,243.006,-820.157,39404.8,NaN
3742.54,941.652,-20.0502,307.278,-783.065,-2.09411,-0.0156513
3656.81,1132.08,16773.1,239.232,-833.061,47807.3,-0.0488107
3754.17,961.739,-21.5484,305.507,-781.083,0.865439,-0.0150157
3669.52,1150.03,16598.9,241.812,-830.176,44912.9,-0.0488504
3738.75,960.937,-21.2734,306.093,-786.339,0.438126,-0.0168266
3673.69,1117.36,13321.7,253.301,-821.655,35447.1,-0.0470343
3725.68,956.429,-19.9885,305.593,-778.615,-3.82347,-0.0145748
3656.51,1112.81,13270.0,254.597,-815.483,34771.7,-0.0466448
4222.00,927.963,-7.82297,-1.75256,-410.864,-6.15556,-0.0400266
4134.98,1132.98,17496.2,-1.45002,-454.490,48137.1,-0.0500708
4221.04,927.183,-8.97339,-1.59502,-406.574,-3.32345,-0.0399653
4137.73,1122.31,16907.2,-1.60398,-448.305,47792.1,-0.0504785
4218.50,924.595,-9.04625,-1.63083,-417.219,11.9659,-0.0400363
4151.22,1089.43,13738.6,-1.48225,-450.595,37452.8,-0.0502204
4215.39,923.971,-11.9417,-1.61651,-420.256,5.16983,-0.0400182
